"Carrie,06/13/1982,Steven King,762"
"The Stand,01/01/1984,Steven King,1200"
"The Hunger Games,11/12/2013,Suzanne Collins,600"
"The Jungle Book,03/21/1898,Rudyard Kipling,483"
"Kim,02/03/1910,Rudyard Kipling,526"
"I Robot,08/11/1945,Isaac Asimov,474"
"Firestarter,04/01/1982,Steven King,597"
"Carrie,06/13/1982,Steven King,762"
"I Robot,08/29/1945,Isaac Asimov,474"
"The Jungle Book,09/17/1900,Rudyard Kipling,483"
"Kim,02/03/1910,Rudyard Kipling,526"
"Mockingjay,08/09/2014,Suzanne Collins,642"